subscription ID	Plan	Product	Interval	Amount	Status
sub_1PilugI9Qa85Sr7CnzybUNHG	price_1PilspI9Qa85Sr7CMatrbVRW	Chat Elevate : 10k MAU	month	2025	past_due
sub_1Pi97qI9Qa85Sr7CxEYWlcKI	price_1OzhtyI9Qa85Sr7CdnBQ6cW4	Video Enterprise - Support : Quarterly	month	2000	past_due
sub_1P0dvQI9Qa85Sr7C3mt9o2c7	price_1OwCr2I9Qa85Sr7CkoirhcVp	Video : Quarterly	month	2000	active
sub_1P0HRkI9Qa85Sr7CnqUuF6ut	plan_EJjzXtHZrqaRVG	Feeds Enterprise - Support : Monthly	month	2000	active
sub_1Q4bgtI9Qa85Sr7CxdloN7Ir	price_1Q4bfvI9Qa85Sr7CLFqMvGFq	Video : Quarterly	month	1881	active
sub_1PMkzVI9Qa85Sr7CkyOkLlIz	price_1PBLeaI9Qa85Sr7CJapaMWRf	Chat Start : 50k MAU	month	1849	past_due
sub_1Q4bRvI9Qa85Sr7COIjbYLE7	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1Pu6q0I9Qa85Sr7Ct0HuAkgT	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	past_due
sub_1PnwkqI9Qa85Sr7CRitJmreL	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1PnDmcI9Qa85Sr7C83g3W54l	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1PYMF9I9Qa85Sr7CXdZCokOr	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1PXdIOI9Qa85Sr7C8wepXfLS	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1PBWDuI9Qa85Sr7CeEpGz3rQ	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1Ow6sfI9Qa85Sr7C0bLweh0G	price_1OkDEWI9Qa85Sr7C6aoJaeO7	Chat Elevate : 10k MAU	month	1797	active
sub_1P1MsHI9Qa85Sr7C4tu6JYyX	price_1KsYp3I9Qa85Sr7CRkoUOPI5	Chat Startup : Quarterly	month	1497	active
sub_1PVukHI9Qa85Sr7Cx8gjerRY	price_1Nxwu8I9Qa85Sr7CWrzpb0XU	Chat Start : 25k MAU	month	1299	active
sub_1PHTwLI9Qa85Sr7C1yHmbE9g	price_1Nxwu8I9Qa85Sr7CWrzpb0XU	Chat Start : 25k MAU	month	1299	active
sub_1PGj6oI9Qa85Sr7CNTTVUVGu	price_1Nxwu8I9Qa85Sr7CWrzpb0XU	Chat Start : 25k MAU	month	1299	active
sub_1P9BDbI9Qa85Sr7CbB38Hy1g	price_1Nxwu8I9Qa85Sr7CWrzpb0XU	Chat Start : 25k MAU	month	1299	active
sub_1OuKrUI9Qa85Sr7CwktJIRxD	price_1Nxwu8I9Qa85Sr7CWrzpb0XU	Chat Start : 25k MAU	month	1299	active
sub_1PeWL8I9Qa85Sr7C01Jl20Gb	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1Pe35CI9Qa85Sr7CvrayUFLI	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PVxh6I9Qa85Sr7Cf0AbTa7b	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PMkzVI9Qa85Sr7CnbaofPxG	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PMkzSI9Qa85Sr7CypWNNwIu	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	past_due
sub_1PMkzQI9Qa85Sr7CGFl17kDA	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	past_due
sub_1PLfZfI9Qa85Sr7CUhAdTTCp	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	past_due
sub_1PHDU7I9Qa85Sr7C9drfFtIu	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PCbdyI9Qa85Sr7CyiY7zbF6	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PBWDyI9Qa85Sr7CYxdc8c2F	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PBWDyI9Qa85Sr7C6vLiGm3D	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1PBWDwI9Qa85Sr7CpvVNjeMe	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1P5uW2I9Qa85Sr7CPoDi2W1H	price_1OS6KXI9Qa85Sr7CSAqMTMtZ	Chat Start : 10k MAU	month	1197	active
sub_1OrBxsI9Qa85Sr7Cvw0uHbmv	price_1P0nubI9Qa85Sr7CTeFCrzFc	Chat Start : 25k MAU	month	1049	active
sub_1PiGHpI9Qa85Sr7CXdWcVh3Q	v3_pro	Feeds Premium : Monthly	month	899	active
sub_1OvnMbI9Qa85Sr7C1jtRHpF7	v3_pro	Feeds Premium : Monthly	month	899	active
sub_1OcivXI9Qa85Sr7C0nd0iF7Z	v3_pro	Feeds Premium : Monthly	month	899	past_due
sub_1PalToI9Qa85Sr7Cqk956EEp	price_1NlFyQI9Qa85Sr7C2yg04ljk	Feeds Standard : Quarterly	month	807	active
sub_1P0dvdI9Qa85Sr7CC4eFO8T3	price_1OzivCI9Qa85Sr7CWgr52n89	Video : Quarterly	month	800	active
sub_1P0dvcI9Qa85Sr7C2xA3FaHH	price_1OzivCI9Qa85Sr7CWgr52n89	Video : Quarterly	month	800	active
sub_1P0dvZI9Qa85Sr7C2Au4cG5N	price_1OzivCI9Qa85Sr7CWgr52n89	Video : Quarterly	month	800	active
sub_1P0dvWI9Qa85Sr7CJOoMigsg	price_1OzivCI9Qa85Sr7CWgr52n89	Video : Quarterly	month	800	active
sub_1P0dvUI9Qa85Sr7CdyCKm19U	price_1OzivCI9Qa85Sr7CWgr52n89	Video : Quarterly	month	800	active
sub_1Q4m9aI9Qa85Sr7CcWC3SEwr	price_1Nxx3xI9Qa85Sr7CRaEOofhv	Chat Elevate : 10k MAU	month	675	active
